City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Santa Isabel Do Rio Negro,BR,76.75,broken clouds,-0.4139,-65.0192,Hotel GSA
471,Miri,MY,76.98,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
472,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
473,Cuajinicuilapa,MX,89.71,scattered clouds,16.4667,-98.4167,Pozo S. XVI
478,Lamont,US,77.47,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
479,Panguna,PG,77.83,light rain,-6.3164,155.4848,
483,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Morant Bay,JM,79.72,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
492,Quelimane,MZ,76.1,overcast clouds,-17.8786,36.8883,Hotel Flamingo
495,Trairi,BR,76.44,overcast clouds,-3.2778,-39.2689,janelas do mar
498,Limon,CR,82.29,clear sky,10.0,-83.0333,Hotel Playa Bonita
500,Ibra,OM,77.56,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
501,Pedasi,PA,81.41,overcast clouds,7.5333,-80.0333,Selina Pedasi
502,Sola,VU,82.06,broken clouds,-13.8833,167.55,Leumerus Bungalows
503,Thinadhoo,MV,83.01,overcast clouds,0.5333,72.9333,
506,Muisne,EC,76.37,broken clouds,0.6,-80.0333,Quinta Samay
509,Kidal,ML,77.9,overcast clouds,18.4411,1.4078,
511,Vao,NC,76.91,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
512,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
515,Chiautla,MX,87.57,broken clouds,19.5333,-98.8833,Xcoco Inn
517,Ajaigarh,IN,85.5,clear sky,24.9,80.2667,Shakuntalam Garden & Homestay
518,Teknaf,BD,78.28,broken clouds,20.8624,92.3058,Forestry Guesthouse
519,Kuliyapitiya,LK,76.05,scattered clouds,7.4688,80.0401,Rest House
525,Kibala,TD,87.75,clear sky,9.1104,18.3463,hotel safari
530,Korhogo,CI,79.03,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
534,Diapaga,BF,89.87,broken clouds,12.0708,1.7889,
536,Natal,BR,79.39,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
537,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
550,Kieta,PG,82.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
552,Hays,US,87.94,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
556,Garowe,SO,79.52,broken clouds,8.4054,48.4845,Curubo Hotel
557,Umm Kaddadah,SD,84.99,few clouds,13.6017,26.6876,
558,Ocos,GT,87.98,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
574,Tumarbong,PH,81.28,overcast clouds,10.3766,119.4579,
575,Saint-Louis,SN,77.83,clear sky,16.3333,-15.0,
576,Dalbandin,PK,76.75,scattered clouds,28.8947,64.4101,Sanjrani House
578,Arizona,US,75.16,clear sky,34.5003,-111.501,
580,Miraflores,MX,86.65,scattered clouds,19.2167,-98.8083,Hotel Mansión
586,Tucurui,BR,75.85,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
587,Birao,CF,85.71,broken clouds,10.2849,22.7882,
588,Bonthe,SL,78.98,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
594,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
595,Oeiras,BR,75.22,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
597,Fomboni,KM,82.47,clear sky,-12.28,43.7425,Auberge les abou
