City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Faanui,PF,-16.4833,-151.75,81.03,72,34,9.28,light rain
170,Puerto Escondido,MX,15.85,-97.0667,86.83,66,0,12.66,clear sky
171,Pimentel,PE,-6.8367,-79.9342,68.29,68,0,23.02,clear sky
172,Ilulissat,GL,69.2167,-51.1,12.22,73,75,3.44,light shower snow
173,Yuli,NG,9.6989,10.2744,84.13,55,95,4.68,light rain
174,Adrar,MR,20.5022,-10.0711,78.73,13,49,12.1,scattered clouds
175,Pudozh,RU,61.8099,36.5345,34.43,100,100,4.83,overcast clouds
176,Pagudpud,PH,18.5616,120.7868,78.22,78,97,12.73,overcast clouds
177,Biak,ID,-0.9131,122.8766,77.7,76,81,1.95,broken clouds
178,Bluff,NZ,-46.6,168.3333,55.8,73,7,7.34,clear sky
179,Sandpoint,US,48.2766,-116.5533,46.02,63,75,3.0,broken clouds
180,Liuzhou,CN,24.3126,109.3892,53.51,90,100,6.82,overcast clouds
181,Ribeira Grande,PT,38.5167,-28.7,58.17,70,33,19.17,scattered clouds
182,Cidreira,BR,-30.1811,-50.2056,67.17,71,96,10.85,overcast clouds
183,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,51,0,6.71,clear sky
184,Longonjo,AO,-12.9067,15.2533,62.76,97,100,1.03,overcast clouds
185,Saint-Joseph,RE,-21.3667,55.6167,73.78,86,32,10.56,light rain
186,Constitucion,CL,-35.3333,-72.4167,52.03,94,46,5.12,scattered clouds
187,Kodinsk,RU,58.6881,99.1844,39.88,84,86,12.48,overcast clouds
188,Masumbwe,TZ,-3.6333,32.1833,63.36,93,86,2.42,overcast clouds
189,Richards Bay,ZA,-28.783,32.0377,62.67,91,100,4.25,overcast clouds
190,Jalu,LY,29.0331,21.5482,63.61,67,98,15.88,overcast clouds
191,Boa Vista,BR,2.8197,-60.6733,84.54,56,100,5.53,overcast clouds
192,Chuy,UY,-33.6971,-53.4616,62.11,78,100,7.16,overcast clouds
193,Porto Novo,BJ,6.4965,2.6036,77.74,83,100,9.55,moderate rain
194,Macomb,US,40.4592,-90.6718,43.02,78,100,4.61,light rain
195,Hoopstad,ZA,-27.8327,25.9083,54.37,94,68,5.12,light rain
196,Minusio,CH,46.1777,8.8147,49.71,84,39,1.9,scattered clouds
197,Fuerte Olimpo,PY,-21.0415,-57.8738,72.1,55,49,5.59,scattered clouds
198,Hadejia,NG,12.4498,10.0444,84.78,39,95,5.39,overcast clouds
199,Svetlaya,RU,46.5389,138.3297,41.56,53,19,7.54,few clouds
200,Yatou,CN,37.15,122.3833,53.92,51,100,6.17,overcast clouds
201,Cayenne,GF,4.9333,-52.3333,81.09,1,84,4.61,broken clouds
202,Camacupa,AO,-12.0167,17.4833,60.96,97,100,3.27,light rain
203,Acarau,BR,-2.8856,-40.12,78.49,85,83,7.34,broken clouds
204,Sao Gabriel,BR,-30.3364,-54.32,59.83,81,63,7.81,broken clouds
205,Sapiranga,BR,-29.6381,-51.0069,68.72,70,68,3.65,broken clouds
206,Pisco,PE,-13.7,-76.2167,68.02,77,0,14.97,clear sky
207,Omsukchan,RU,62.5333,155.8,19.81,84,98,2.55,overcast clouds
208,Vardo,NO,70.3705,31.1107,39.69,92,100,11.59,overcast clouds
209,Korla,CN,41.7597,86.1469,54.43,16,1,8.16,clear sky
210,Kailua,US,21.4022,-157.7394,80.58,77,22,7.0,light rain
211,Sitka,US,57.0531,-135.33,48.09,49,75,6.91,broken clouds
212,Severo-Kurilsk,RU,50.6789,156.125,32.11,77,88,6.31,overcast clouds
213,Kumluca,TR,36.3703,30.2869,66.65,37,64,3.89,broken clouds
214,Namibe,AO,-15.1961,12.1522,74.14,75,20,5.21,few clouds
215,Xifeng,CN,42.7372,124.7222,47.77,32,22,4.63,few clouds
216,Sabang,ID,5.8933,95.3214,82.56,72,87,5.1,overcast clouds
217,Dudinka,RU,69.4058,86.1778,4.62,96,100,9.57,light snow
218,Shingu,JP,33.7333,135.9833,61.34,83,100,6.71,overcast clouds
219,Great Bend,US,38.3645,-98.7648,67.6,34,0,4.61,clear sky
220,Victoria,HK,22.2855,114.1577,72.18,78,100,8.99,overcast clouds
221,Orange Cove,US,36.6244,-119.3137,79.68,29,6,6.35,clear sky
222,Port Elizabeth,ZA,-33.918,25.5701,62.89,97,75,10.36,moderate rain
223,Saurimo,AO,-9.6608,20.3916,65.77,94,98,4.63,overcast clouds
224,Trinidad,BO,-14.8333,-64.9,75.18,69,40,5.75,scattered clouds
225,Praia,CV,14.9215,-23.5087,70.3,80,7,13.96,clear sky
226,Oktyabrskoye,RU,43.0645,44.7417,44.74,87,24,6.71,few clouds
227,Kisangani,CD,0.5167,25.2,72.36,76,46,2.35,scattered clouds
228,Gamboula,CF,4.1178,15.1393,72.16,86,69,1.41,broken clouds
229,Atikokan,CA,48.7555,-91.6216,30.72,94,100,7.58,light snow
230,Saint Anthony,US,45.0205,-93.218,38.1,89,100,11.5,snow
231,Gura Calitei,RO,45.5833,27.0167,39.56,61,100,13.13,overcast clouds
232,Sao Francisco Do Sul,BR,-26.2433,-48.6381,62.02,86,61,4.25,broken clouds
233,Gidole,ET,5.65,37.3667,56.86,86,100,1.05,moderate rain
234,Hatillo,PR,18.4863,-66.8254,81.1,86,99,1.01,overcast clouds
235,Srednekolymsk,RU,67.45,153.6833,16.41,86,99,6.35,overcast clouds
236,Ballina,AU,-28.8667,153.5667,69.98,94,86,6.04,overcast clouds
237,Asau,RO,46.4333,26.4,34.72,83,46,5.01,scattered clouds
238,Mar Del Plata,AR,-38.0023,-57.5575,64.09,90,0,11.99,clear sky
239,Ardakan,IR,32.31,54.0175,61.61,25,41,14.03,scattered clouds
240,Tuatapere,NZ,-46.1333,167.6833,56.41,66,10,3.91,clear sky
241,Kattivakkam,IN,13.2167,80.3167,86.09,87,22,1.9,few clouds
242,Johi,PK,26.6921,67.6133,86.61,37,66,8.52,broken clouds
243,Dori,BF,14.0354,-0.0345,82.78,13,82,7.2,broken clouds
244,Tura,IN,25.5198,90.2201,67.3,84,0,5.37,clear sky
245,Saint-Francois,FR,46.4154,3.9054,43.68,73,0,2.3,clear sky
246,Angoche,MZ,-16.2325,39.9086,79.11,81,82,8.95,broken clouds
247,Dejen,ET,10.1667,38.1333,59.56,68,99,2.1,light rain
248,Inta,RU,66.0317,60.1659,28.11,94,79,13.62,broken clouds
249,Misratah,LY,32.3754,15.0925,61.39,75,0,12.8,clear sky
250,Chase,CA,50.8165,-119.6857,56.32,39,62,4.12,broken clouds
251,Rio Grande,BR,-32.035,-52.0986,64.94,74,100,11.1,overcast clouds
252,Quartucciu,IT,39.2519,9.1794,52.02,54,0,6.91,clear sky
253,Parfino,RU,57.9731,31.6481,32.77,85,98,1.9,overcast clouds
254,Kavieng,PG,-2.5744,150.7967,85.24,66,83,13.82,broken clouds
255,Oga,IT,46.4631,10.347,34.81,86,22,1.79,few clouds
256,East London,ZA,-33.0153,27.9116,64.49,79,47,7.09,scattered clouds
257,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,8.05,broken clouds
258,Waingapu,ID,-9.6567,120.2641,80.17,85,95,4.36,overcast clouds
259,Orange,US,33.7,-117.7675,87.22,58,20,9.22,few clouds
260,Geraldton,AU,-28.7667,114.6,52.21,76,0,12.66,clear sky
261,Port Augusta,AU,-32.5,137.7667,65.95,70,100,16.4,overcast clouds
262,Sobolevo,RU,54.4299,31.8996,32.58,85,96,11.52,snow
263,Bontang,ID,0.1333,117.5,78.93,86,96,6.49,overcast clouds
264,Yaring,TH,6.8662,101.3689,79.63,84,88,8.05,overcast clouds
265,Qaqortoq,GL,60.7167,-46.0333,27.25,90,79,3.8,broken clouds
266,Koroni,GR,36.8,21.95,59.07,80,97,3.02,light rain
267,Hellvik,NO,59.9156,5.781,44.78,75,92,3.87,overcast clouds
268,Uyuni,BO,-20.4597,-66.825,49.03,12,0,15.61,clear sky
269,Limbang,MY,4.75,115.0,78.91,90,43,1.61,scattered clouds
270,Naryan-Mar,RU,67.6713,53.087,32.72,99,100,8.66,overcast clouds
271,Mahebourg,MU,-20.4081,57.7,75.25,87,43,13.47,light rain
272,Eyl,SO,7.9803,49.8164,82.04,81,43,7.65,scattered clouds
273,Ous,RU,60.9058,61.5186,20.86,91,11,5.61,few clouds
274,Waitara,NZ,-38.925,174.25,65.23,58,100,10.96,light rain
275,Ewa Beach,US,21.3156,-158.0072,80.55,62,75,12.66,light intensity drizzle
276,Kedougou,SN,12.5579,-12.1743,97.11,18,92,2.57,overcast clouds
277,Guarapari,BR,-20.6667,-40.4975,74.89,81,12,8.57,few clouds
278,Hienghene,NC,-20.6833,164.9333,76.3,63,93,1.3,overcast clouds
279,Plovdiv,BG,42.15,24.75,39.27,87,100,5.75,overcast clouds
280,Pavlodolskaya,RU,43.7192,44.4781,46.99,75,40,5.77,scattered clouds
281,Ahipara,NZ,-35.1667,173.1667,70.43,88,97,13.71,light rain
282,Buenos Aires,AR,-34.6132,-58.3772,65.98,82,75,12.66,broken clouds
283,Rio Branco,BR,-9.9747,-67.81,74.19,96,73,4.52,broken clouds
284,Port Lincoln,AU,-34.7333,135.8667,61.68,67,100,11.16,light rain
285,San Andres,CO,12.5847,-81.7006,80.26,77,26,10.63,scattered clouds
286,Pacific Grove,US,36.6177,-121.9166,69.39,69,0,11.5,clear sky
287,Gimbi,ET,9.1667,35.8333,58.5,83,90,2.82,overcast clouds
288,Hami,CN,42.8,93.45,51.62,21,0,5.86,clear sky
289,Plettenberg Bay,ZA,-34.0527,23.3716,58.71,78,6,3.98,clear sky
290,Atar,MR,20.5169,-13.0499,86.0,12,97,3.87,overcast clouds
291,Kaitangata,NZ,-46.2817,169.8464,54.46,61,2,1.88,clear sky
292,San Pedro,PH,14.35,121.0167,81.63,75,75,5.75,broken clouds
293,Darasun,RU,51.6667,114.0,41.67,69,41,5.39,scattered clouds
294,Nikki,BJ,9.9401,3.2108,84.49,47,91,5.48,overcast clouds
295,Ola,RU,59.5833,151.2833,30.15,68,100,3.74,overcast clouds
296,Bairiki,KI,1.3292,172.9752,84.2,74,20,8.05,few clouds
