City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Alofi,NU,2022-04-17 01:00:25,-19.0595,-169.9187,81.45,75,31,10.45
185,Ixtapa,MX,2022-04-17 01:00:33,20.7,-105.2,77.23,77,100,5.01
186,Ndioum,SN,2022-04-17 01:01:25,16.5129,-14.6471,77.65,32,5,12.03
187,Constitucion,CL,2022-04-17 01:01:26,-35.3333,-72.4167,53.29,80,0,5.03
188,Sindor,RU,2022-04-17 01:01:26,62.8629,51.8905,20.57,97,61,3.51
189,Faya,SA,2022-04-17 00:54:15,18.3851,42.4509,64.51,47,0,4.47
190,Ayr,GB,2022-04-17 01:01:26,55.4627,-4.6339,53.49,82,40,10.36
191,Dmitriyevka,RU,2022-04-17 01:01:27,54.75,55.3333,33.35,81,88,4.03
192,Dunedin,NZ,2022-04-17 00:53:02,-45.8742,170.5036,54.81,66,93,8.99
193,Ust-Ilimsk,RU,2022-04-17 01:01:27,58.0006,102.6619,43.81,91,100,9.91
194,Saint-Augustin,CA,2022-04-17 00:54:27,51.226,-58.6502,34.92,91,98,13.11
195,Upata,VE,2022-04-17 01:01:27,8.0086,-62.3989,73.92,79,88,7.4
196,Katsuura,JP,2022-04-17 00:55:34,35.1333,140.3,58.71,58,100,11.21
197,Griffith,US,2022-04-17 01:01:28,41.5284,-87.4237,43.39,70,75,9.22
198,Dwarka,IN,2022-04-17 00:54:27,22.2394,68.9678,79.41,77,0,12.3
199,Rapid City,US,2022-04-17 00:57:26,44.0805,-103.231,45.41,41,100,13.0
200,Kisangani,CD,2022-04-17 01:01:28,0.5167,25.2,68.97,97,100,2.39
201,Novovarshavka,RU,2022-04-17 01:01:29,54.1721,74.6946,50.95,64,100,8.1
202,Nishihara,JP,2022-04-17 01:01:29,26.1842,127.7558,67.28,60,75,11.5
203,Sinegorye,RU,2022-04-17 01:01:29,62.0788,150.477,15.12,88,100,5.1
204,Ituverava,BR,2022-04-17 01:01:30,-20.3394,-47.7806,60.98,76,0,5.86
205,Balmazujvaros,HU,2022-04-17 01:01:29,47.6167,21.35,41.18,62,0,18.59
206,Tuatapere,NZ,2022-04-17 01:01:30,-46.1333,167.6833,56.01,54,100,2.77
207,Rawson,AR,2022-04-17 01:01:30,-43.3002,-65.1023,54.77,68,0,10.47
208,New Norfolk,AU,2022-04-17 01:01:31,-42.7826,147.0587,71.1,42,100,7.83
209,Birao,CF,2022-04-17 01:01:31,10.2849,22.7882,81.01,37,6,4.18
210,Lahuachaca,BO,2022-04-17 01:01:31,-17.3667,-67.6667,46.15,47,8,6.29
211,Dingzhou,CN,2022-04-17 01:01:32,38.5131,114.9956,59.52,30,100,4.41
212,Soyo,AO,2022-04-17 01:01:32,-6.1349,12.3689,77.54,91,98,7.56
213,Teya,RU,2022-04-17 01:01:32,60.3778,92.6267,41.29,96,100,9.86
214,Pisco,PE,2022-04-17 01:01:33,-13.7,-76.2167,65.01,88,100,1.45
215,Along,IN,2022-04-17 01:01:33,28.1667,94.7667,65.28,97,98,1.86
216,Port Hardy,CA,2022-04-17 01:01:33,50.6996,-127.4199,45.41,58,6,14.45
217,Nantucket,US,2022-04-17 01:01:34,41.2835,-70.0995,54.14,87,0,10.36
218,Apiai,BR,2022-04-17 01:01:34,-24.5094,-48.8425,50.5,100,37,2.19
219,Saravan,AM,2022-04-17 01:01:34,39.7196,45.6483,33.96,77,13,6.02
220,Colesberg,ZA,2022-04-17 01:01:34,-30.72,25.0972,52.2,78,70,9.91
221,Kaeo,NZ,2022-04-17 01:01:35,-35.1,173.7833,67.32,83,100,18.63
222,Andenes,NO,2022-04-17 01:01:35,69.3143,16.1194,40.98,93,100,9.22
223,Lagoa Santa,BR,2022-04-17 01:01:35,-19.6272,-43.8897,66.25,66,99,8.41
224,Ancud,CL,2022-04-17 00:54:25,-41.8697,-73.8203,56.23,87,0,3.98
225,Lebu,CL,2022-04-17 00:55:37,-37.6167,-73.65,53.2,92,63,11.16
226,Ribeira Grande,PT,2022-04-17 01:01:36,38.5167,-28.7,59.92,79,0,17.76
227,Yenagoa,NG,2022-04-17 01:01:36,4.9247,6.2642,77.38,90,21,4.36
228,Zhenlai,CN,2022-04-17 01:01:36,45.8495,123.2973,48.61,21,15,10.2
229,Inongo,CD,2022-04-17 01:01:37,-1.95,18.2667,73.74,84,94,1.63
230,Narsaq,GL,2022-04-17 00:53:08,60.9167,-46.05,27.05,87,10,0.6
231,Sidney,AU,2022-04-17 01:01:03,-33.8679,151.2073,74.59,71,20,8.01
232,Novikovo,RU,2022-04-17 01:01:37,51.1537,37.8879,47.5,94,100,8.08
233,Svetlogorsk,BY,2022-04-17 01:01:38,52.6333,29.7333,34.27,93,100,13.38
234,Kenai,US,2022-04-17 01:02:38,60.5544,-151.2583,45.03,70,82,8.16
235,Coquimbo,CL,2022-04-17 00:52:20,-29.9533,-71.3436,57.27,87,53,2.62
236,Kautokeino,NO,2022-04-17 01:02:38,69.0125,23.0412,33.08,90,100,6.13
237,Isiro,CD,2022-04-17 01:02:39,2.7739,27.616,65.43,98,97,2.1
238,Luganville,VU,2022-04-17 01:02:39,-15.5333,167.1667,84.9,70,68,5.35
239,Mount Isa,AU,2022-04-17 01:02:39,-20.7333,139.5,89.37,17,5,11.5
240,Kirando,TZ,2022-04-17 01:02:40,-7.4167,30.6,70.93,86,100,3.76
241,Langres,FR,2022-04-17 01:02:40,47.8333,5.3333,43.2,73,4,10.45
242,Sinnai,IT,2022-04-17 01:02:40,39.3042,9.2036,57.47,59,0,3.44
243,Leeton,AU,2022-04-17 01:02:40,-34.5667,146.4,78.89,38,6,12.5
244,Sisimiut,GL,2022-04-17 00:54:16,66.9395,-53.6735,16.59,65,4,8.84
245,Linxia,CN,2022-04-17 01:02:41,35.6003,103.2064,37.0,70,100,4.05
246,Paita,PE,2022-04-17 00:53:10,-5.0892,-81.1144,68.92,79,21,17.29
247,Davila,PH,2022-04-17 01:02:41,18.4726,120.5763,82.54,67,21,14.97
248,Quibor,VE,2022-04-17 01:02:42,9.9287,-69.6201,75.2,71,64,7.92
249,Sawtell,AU,2022-04-17 01:02:42,-30.3833,153.1,71.19,73,75,13.8
250,Muroto,JP,2022-04-17 01:02:42,33.2833,134.15,58.78,48,95,3.42
251,College,US,2022-04-17 01:02:43,64.8569,-147.8028,34.23,30,2,4.0
252,Mecca,SA,2022-04-17 01:00:09,21.4267,39.8261,80.28,35,0,3.33
253,Dikson,RU,2022-04-17 01:02:43,73.5069,80.5464,6.12,95,100,14.38
254,Longyearbyen,SJ,2022-04-17 00:54:23,78.2186,15.6401,21.04,68,40,6.91
255,Qostanay,KZ,2022-04-17 01:02:43,53.1667,63.5833,35.89,80,0,13.42
256,Aklavik,CA,2022-04-17 01:02:44,68.2191,-135.0107,14.54,76,19,12.91
257,Bandarbeyla,SO,2022-04-17 01:02:44,9.4942,50.8122,80.4,79,42,5.97
258,Tuktoyaktuk,CA,2022-04-17 00:54:22,69.4541,-133.0374,3.2,66,75,4.61
259,Ilebo,CD,2022-04-17 01:02:44,-4.3167,20.5833,71.83,97,100,0.92
260,Bambous Virieux,MU,2022-04-17 00:55:32,-20.3428,57.7575,76.21,100,75,11.5
261,Pechenga,RU,2022-04-17 01:02:45,69.5259,31.1703,37.65,94,100,26.08
262,Ust-Tsilma,RU,2022-04-17 01:02:45,65.441,52.1498,24.78,96,100,5.66
263,Carutapera,BR,2022-04-17 01:02:45,-1.195,-46.02,76.68,93,100,3.85
264,Loveland,US,2022-04-17 01:01:39,40.3978,-105.075,57.43,29,0,3.44
265,Leningradskiy,RU,2022-04-17 01:02:46,69.3833,178.4167,13.64,88,96,9.17
266,Nampula,MZ,2022-04-17 01:02:46,-15.1165,39.2666,68.14,99,40,3.67
267,Council Bluffs,US,2022-04-17 01:02:46,41.2619,-95.8608,48.49,28,75,6.91
268,Minsk,BY,2022-04-17 01:02:47,53.9,27.5667,35.35,75,83,10.54
269,Owando,CG,2022-04-17 01:02:47,-0.4819,15.8999,73.69,86,68,2.13
270,Cairo,EG,2022-04-17 00:59:56,30.0626,31.2497,72.36,37,0,3.44
271,Birin,NP,2022-04-17 01:02:48,26.8865,88.0718,63.28,42,1,2.82
272,Vila Franca Do Campo,PT,2022-04-17 01:02:48,37.7167,-25.4333,61.21,90,98,8.7
273,Jamame,SO,2022-04-17 01:02:48,0.0722,42.7506,81.54,77,100,9.08
274,Rocha,UY,2022-04-17 00:53:01,-34.4833,-54.3333,54.28,90,0,1.86
275,Faanui,PF,2022-04-17 01:02:49,-16.4833,-151.75,80.94,73,12,12.03
276,Caicedonia,CO,2022-04-17 01:02:49,4.3324,-75.8267,67.46,97,100,1.25
277,Clyde River,CA,2022-04-17 01:02:49,70.4692,-68.5914,-9.17,84,100,6.91
